,Alpha,Beta,AllBCV,MeanBCV,MinBCV,MaxBCV,WBCV,CohBCV,EqualParameters_AllBCV,EqualParameters_MeanBCV,EqualParameters_MinBCV,EqualParameters_MaxBCV,EqualParameters_CohBCV,MincF
356,0.1,0.7999999999999999,99.0,99.0,99.0,99.0,1.1846642705744568,0.0,99.0,99.0,99.0,99.0,1.1846642705744568,0.0
357,0.1,0.85,99.0,99.0,99.0,99.0,1.1846642705744568,0.0,99.0,99.0,99.0,99.0,1.1846642705744568,0.0
351,0.1,0.9,99.0,99.0,99.0,99.0,1.1846642705744568,0.0,99.0,99.0,99.0,99.0,1.1846642705744568,0.0
359,0.1,0.95,99.0,99.0,99.0,99.0,1.1846642705744568,0.0,99.0,99.0,99.0,99.0,1.1846642705744568,0.0
360,0.1,1.0,99.0,99.0,99.0,99.0,1.1846642705744568,0.0,99.0,99.0,99.0,99.0,1.1846642705744568,0.0
69,0.15,0.05,1.2926220292691992,0.1794092671434719,0.3394476105207541,5.427752137835741,1.3152721274272243,-0.2056336635641993,0.0226500981580251,1.1358628602837524,0.9758245169064702,-4.112480010408516,1.5209057909914236,-4.112480010408516
64,0.15,0.1,1.2581210857599976,0.1519299815592452,0.3394476105207541,6.181019969670596,1.2968332626610424,-0.2433716767281163,0.03871217690104478,1.1449032811017972,0.9573856521402883,-4.884186707009554,1.5402049393891586,-4.884186707009554
61,0.15,0.15,1.205961283347968,0.1354922026916985,0.3394476105207542,4.835734977178678,1.2466627133957366,-0.2400343014143366,0.040701430047768605,1.1111705107040382,0.9072151028749824,-3.589072263782941,1.4866970148100733,-3.589072263782941
62,0.15,0.2,1.162759986843516,0.0951983296499231,0.3394476105207542,5.075254082796032,1.2206900455453324,-0.2130785777259461,0.057930058701816556,1.1254917158954094,0.8812424350245782,-3.8545640372507,1.4337686232712785,-3.8545640372507
63,0.15,0.25,1.2282524801260384,0.1156259824052704,0.3394476105207542,5.228329145519274,1.2836182863861976,-0.2182130012856346,0.05536580626015919,1.1679923039809272,0.9441706758654433,-3.944710859133077,1.5018312876718323,-3.944710859133077
65,0.15,0.3,1.2207707887369892,0.1143735571680621,0.3394476105207542,5.756570124275971,1.2769930672157823,-0.2156457895057607,0.05622227847879313,1.1626195100477201,0.9375454566950281,-4.4795770570601885,1.492638856721543,-4.4795770570601885
68,0.15,0.35,1.2207707887369892,0.1143735571680621,0.3394476105207542,5.756570124275971,1.2769930672157823,-0.220780213065464,0.05622227847879313,1.1626195100477201,0.9375454566950281,-4.4795770570601885,1.4977732802812462,-4.4795770570601885
67,0.15,0.3999999999999999,1.2207707887369892,0.1143735571680621,0.3394476105207542,5.756570124275971,1.2769930672157823,-0.2259146366251673,0.05622227847879313,1.1626195100477201,0.9375454566950281,-4.4795770570601885,1.5029077038409495,-4.4795770570601885
70,0.15,0.4499999999999999,1.2265842228239383,0.1113465182444555,0.3394476105207542,5.285941734363117,1.2855958459806562,-0.315767048919975,0.05901162315671793,1.1742493277362007,0.946148235459902,-4.000345888382461,1.6013628949006313,-4.000345888382461
66,0.15,0.4999999999999999,1.1661977519040048,0.1209483721534304,0.3394476105207542,5.285941734363117,1.2037022530080852,-0.1771376128078971,0.037504501104080434,1.0827538808546548,0.864254642487331,-4.082239481355032,1.3808398658159824,-4.082239481355032
74,0.15,0.5499999999999999,1.174572836072541,0.1079886192210559,0.3394476105207542,5.285941734363117,1.2284778550986766,-0.3080654135804201,0.05390501902613565,1.1204892358776206,0.8890302445779223,-4.057463879264441,1.5365432686790967,-4.057463879264441
75,0.15,0.6,1.2564216160755153,0.1425145672874097,0.3394476105207542,4.744819191215218,1.3109669882711206,-0.3311703195991961,0.05454537219560529,1.1684524209837108,0.9715193777503663,-3.433852202944097,1.6421373078703168,-3.433852202944097
78,0.15,0.65,1.2838189707516086,0.2731914501598813,0.3307374625894085,4.727051891587792,1.2722237179158822,1.999955756557756e-12,-0.011595252835726377,0.9990322677560008,0.9414862553264737,-3.45482817367191,1.2722237179138822,-3.45482817367191
72,0.15,0.7,99.0,99.0,99.0,99.0,1.1846642705744568,0.0,99.0,99.0,99.0,99.0,1.1846642705744568,0.0
73,0.15,0.75,99.0,99.0,99.0,99.0,1.1846642705744568,0.0,99.0,99.0,99.0,99.0,1.1846642705744568,0.0
76,0.15,0.7999999999999999,99.0,99.0,99.0,99.0,1.1846642705744568,0.0,99.0,99.0,99.0,99.0,1.1846642705744568,0.0
77,0.15,0.85,99.0,99.0,99.0,99.0,1.1846642705744568,0.0,99.0,99.0,99.0,99.0,1.1846642705744568,0.0
71,0.15,0.9,99.0,99.0,99.0,99.0,1.1846642705744568,0.0,99.0,99.0,99.0,99.0,1.1846642705744568,0.0
79,0.15,0.95,99.0,99.0,99.0,99.0,1.1846642705744568,0.0,99.0,99.0,99.0,99.0,1.1846642705744568,0.0
80,0.15,1.0,1.1580165150005444,0.049255156046479,0.3394476105207542,4.744819191215218,1.2536601817667037,-0.1925408834874958,0.09564366676615932,1.2044050257202248,0.9142125712459495,-3.4911590094485137,1.4462010652541994,-3.4911590094485137
209,0.2,0.05,1.2182824991270609,0.1751330490380859,0.3394476105207541,4.900146779641046,1.2321002926429134,-0.1971618646906867,0.01381779351585255,1.0569672436048276,0.8926526821221593,-3.668046486998133,1.4292621573336002,-3.668046486998133
204,0.2,0.1,1.2476181807776234,0.1341727001781971,0.3394476105207541,4.862936304647225,1.2947976025077583,-0.2395208590583522,0.047179421730134896,1.1606249023295612,0.9553499919870042,-3.568138702139467,1.5343184615661105,-3.568138702139467
